q,nu,chi1z,chi2z,chieff,ecc,ecc_gi,m_ano_gi,E0,J0,Emrg_til,Jmrg_til,Heff_til,b_massless,b_massless_Heff,b_massless_EOB,a_f,A_220,A_320,A_440,v_kick,A_peak22,omega_peak22,Mf,af,A_peak22dotdot,A_nr_error,v_kick_qc,A_peak22_qc,omega_peak22_qc,Mf_qc,af_qc,ID,catalog
1.0,0.25,0.0,0.0,0.0,0.5511,,,0.992403281441108,0.900707666500667,0.967791348738288,2.8193647135034428,0.8732401893853492,2.9131947885037985,3.228624550008308,3.1246349078220885,0.6851834384,0.0,0.0,0.0,0.0,0.4057688358679619,0.3589187782123506,0.9471287829,0.6851834384,-0.0004694147820168,0.001,1.0,0.39483117025625,0.35981440246,0.9515839428556588,0.686369879389307,1309,RIT
1.0,0.25,0.0,0.0,0.0,0.2,,,0.988385978597878,0.896934372162318,0.9715276123550732,2.851946589694296,0.8877318031366985,2.9355280832223727,3.2126218522500487,3.1211508375162222,0.691245008,0.0,0.0,0.0,0.0,0.399047705671545,0.3566564156521892,0.9523664795,0.691245008,-0.0011111961761825,0.001,1.0,0.39483117025625,0.35981440246,0.9515839428556588,0.686369879389307,1116,RIT
1.0,0.25,0.0,0.0,0.0,0.11,,,0.989444603605217,0.946042565433719,0.9701096454078186,2.826555086878777,0.8822254482265672,2.9136449681319663,3.203892035262261,3.108126566253206,0.6861115053,0.0,0.0,0.0,0.0,0.3943485068117812,0.3574404887047099,0.9510239749,0.6861115053,-0.0008225035634376,0.001,1.0,0.39483117025625,0.35981440246,0.9515839428556588,0.686369879389307,1105,RIT
1.0,0.25,0.0,0.0,0.0,0.01,,,0.990619462744479,0.997776500078149,0.9698049197808096,2.8098998639013333,0.8810431648621249,2.89738668735194,3.189287399262733,3.092986610399941,0.686327379,0.0,0.0,0.0,0.0,0.3934152335787907,0.3634946808764425,0.9515888247,0.686327379,-0.0011111440356688,0.001,1.0,0.39483117025625,0.35981440246,0.9515839428556588,0.686369879389307,1095,RIT
1.0,0.25,0.0,0.0,0.0,0.5904,,,0.992191802634389,0.860377472478234,0.9807690440359068,3.083902015426415,0.9238158354782128,3.1443712810673814,3.338221642228113,3.2740244488280403,0.720545532,0.0,0.0,0.0,0.0,0.446461939019819,0.3653038190420083,0.9534677094,0.720545532,-0.0010953954329677,0.001,1.0,0.39483117025625,0.35981440246,0.9515839428556588,0.686369879389307,1313,RIT
1.0,0.25,0.0,0.0,0.0,0.84,,,0.990892958010282,0.537735920298896,0.9901411644920296,2.1145076450631124,0.9607590512432648,2.1355617975421866,2.2008719484108377,2.1791739138973494,0.521871207,0.0,0.0,0.0,0.0,0.2401422409233913,0.2479574913124587,0.9860449564,0.521871207,-0.0011230802528169,0.0022879560060633,1.0,0.39483117025625,0.35981440246,0.9515839428556588,0.686369879389307,1320,RIT
1.0,0.25,0.0,0.0,0.0,0.429975,0.3514237802543781,1.316348157856302,0.993035934527384,1.01497654956417,0.9698037797274044,2.831021787515249,0.8810387423471198,2.9191696781291183,3.2132772958125573,3.1162484667912707,0.6887857847,0.0,0.0,0.0,0.0,0.4025679168207506,0.3538897552964215,0.9500310721,0.6887857847,-0.000916958734888,0.001,1.0,0.39483117025625,0.35981440246,0.9515839428556588,0.686369879389307,1290,RIT
1.0,0.25,0.0,0.0,0.0,0.51,,,0.992617986707402,0.941037860523075,0.9695413040016612,2.8455443988337543,0.8800206803304831,2.9349388077528245,3.233497192094552,3.1350090841090617,0.6879906801,0.0,0.0,0.0,0.0,0.4059610073420587,0.3570712402549447,0.9484456114,0.6879906801,-0.0005577421089031,0.001,1.0,0.39483117025625,0.35981440246,0.9515839428556588,0.686369879389307,1303,RIT
1.0,0.25,0.0,0.0,0.0,0.488775,,,0.992728859585801,0.961202957534291,0.9719918631057812,2.8681943516704256,0.889536363887695,2.950841936583457,3.2243699843085207,3.1340613883903976,0.6957140323,0.0,0.0,0.0,0.0,0.4068527318587596,0.3670509920420952,0.9518280239,0.6957140323,-0.0009620612794125,0.001,1.0,0.39483117025625,0.35981440246,0.9515839428556588,0.686369879389307,1298,RIT
1.0,0.25,0.0,0.0,0.0,0.530775,,,0.99250946631746,0.920872763511858,0.9723068332650824,2.8535723360984075,0.8907611560279458,2.934847558888266,3.203521299495106,3.114805650009328,0.6972013714,0.0,0.0,0.0,0.0,0.4036796096929582,0.3780839283550961,0.9535849119,0.6972013714,-0.001328363941306,0.001,1.0,0.39483117025625,0.35981440246,0.9515839428556588,0.686369879389307,1304,RIT
1.0,0.25,0.0,0.0,0.0,0.444975,0.3921138216459049,3.67334129108637,0.992957639069585,1.0015331515567,0.9687462116750958,2.760562449557896,0.8769384452696989,2.8496239946936184,3.147954642026096,3.049569133987813,0.6812185864,0.0,0.0,0.0,0.0,0.3848219573934657,0.3582166140943172,0.9519339606,0.6812185864,-0.0011618260593107,0.001,1.0,0.39483117025625,0.35981440246,0.9515839428556588,0.686369879389307,1292,RIT
1.0,0.25,0.0,0.0,0.0,0.006,,,0.990666446746757,0.999790178211425,0.969764615698946,2.8088422336763084,0.8808868197234494,2.896416499638801,3.1886528107641934,3.0922426676281023,0.6863483955,0.0,0.0,0.0,0.0,0.3931592635733805,0.3573486617926846,0.9516065947,0.6863483955,-0.0011030581542025,0.001,1.0,0.39483117025625,0.35981440246,0.9515839428556588,0.686369879389307,1093,RIT
